Model; First flight; Seats; Sector; Fuel burn; Fuel efficiency per seat
Airbus A220 100; 2013; 115; 600 nmi (1100 km); 2.8 kg/km (10.1 lb/mi); 3.07 L/100 km (76.7 mpg‑US)[68]
Airbus A220 300; 2015; 140; 600 nmi (1100 km); 3.10 kg/km (11.01 lb/mi); 2.75 L/100 km (85.6 mpg‑US)[68]
Airbus A220-100; 2013; 125; 500 nmi (930 km); 2.57 kg/km (9.1 lb/mi); 2.57 L/100 km (92 mpg‑US)[69]
Airbus A220-300; 2015; 160; 500 nmi (930 km); 2.85 kg/km (10.11 lb/mi); 2.23 L/100 km (105 mpg‑US)[70]
Airbus A319neo; 2015; 144; 600 nmi (1100 km); 3.37 kg/km (11.94 lb/mi); 2.92 L/100 km (80.6 mpg‑US)[68]
Airbus A319neo; 2015; 124; 660 nmi (1220 km); 2.82 kg/km (10 lb/mi); 2.82 L/100 km (83.5 mpg‑US)[71]
Airbus A320neo; 2015; 154; 660 nmi (1220 km); 2.79 kg/km (9.9 lb/mi); 2.25 L/100 km (104.7 mpg‑US)[71]
Airbus A321neo; 2015; 192; 660 nmi (1220 km); 3.30 kg/km (11.7 lb/mi); 2.19 L/100 km (107.4 mpg‑US)[71]
Antonov An-148; 2004; 89; 684 nmi (1267 km); 2.89 kg/km (10.3 lb/mi); 4.06 L/100 km (57.9 mpg‑US)[55]
Antonov An-158; 2010; 99; 684 nmi (1267 km); 3 kg/km (11 lb/mi); 3.79 L/100 km (62.1 mpg‑US)[55]
ATR 42-600; 2010; 50; 500 nmi (930 km); 1.30 kg/km (4.6 lb/mi); 3.27 L/100 km (72 mpg‑US)[72]
ATR 72-600; 2010; 72; 500 nmi (930 km); 1.41 kg/km (5 lb/mi); 2.46 L/100 km (96 mpg‑US)[73]
Boeing 737-300; 1984; 126; 507 nmi (939 km); 3.49 kg/km (12.4 lb/mi); 3.46 L/100 km (68 mpg‑US)[74]
Boeing 737-600; 1998; 110; 500 nmi (930 km); 3.16 kg/km (11.2 lb/mi); 3.59 L/100 km (65.5 mpg‑US)[75]
Boeing 737-700; 1997; 126; 500 nmi (930 km); 3.21 kg/km (11.4 lb/mi); 3.19 L/100 km (74 mpg‑US)[75]
Boeing 737 MAX 7; 2017; 128; 660 nmi (1220 km); 2.85 kg/km (10.1 lb/mi); 2.77 L/100 km (84.8 mpg‑US)[71]
Boeing 737 MAX 7; 2017; 144; 600 nmi (1100 km); 3.39 kg/km (12.01 lb/mi); 2.93 L/100 km (80.2 mpg‑US)[68]
Boeing 737-800; 1997; 162; 500 nmi (930 km); 3.59 kg/km (12.7 lb/mi); 2.77 L/100 km (85 mpg‑US)[75]
Boeing 737 MAX 8; 2017; 166; 660 nmi (1220 km); 3.04 kg/km (10.8 lb/mi); 2.28 L/100 km (103.2 mpg‑US)[71]
Boeing 737-900ER; 2006; 180; 500 nmi (930 km); 3.83 kg/km (13.6 lb/mi); 2.66 L/100 km (88 mpg‑US)[75]
Boeing 737 MAX 9; 2017; 180; 660 nmi (1220 km); 3.30 kg/km (11.7 lb/mi); 2.28 L/100 km (103 mpg‑US)[71]
Boeing 757-200; 1982; 200; 500 nmi (930 km); 4.68 kg/km (16.61 lb/mi); 2.91 L/100 km (80.7 mpg‑US)[76]
Boeing 757-300; 1998; 243; 500 nmi (930 km); 5.19 kg/km (18.41 lb/mi); 2.66 L/100 km (88.4 mpg‑US)[76]
Bombardier CRJ100; 1991; 50; 577 nmi (1069 km); 1.87 kg/km (6.65 lb/mi); 4.68 L/100 km (50.3 mpg‑US)[60]
Bombardier CRJ200; 1995; 50; 580 nmi (1070 km); 1.80 kg/km (6.39 lb/mi); 4.49 L/100 km (52.4 mpg‑US)[60]
Bombardier CRJ700; 1999; 70; 574 nmi (1063 km); 2.45 kg/km (8.68 lb/mi); 4.36 L/100 km (54 mpg‑US)[60]
Bombardier CRJ900; 2001; 88; 573 nmi (1061 km); 2.78 kg/km (9.88 lb/mi); 3.94 L/100 km (59.7 mpg‑US)[60]
Bombardier CRJ1000; 2009; 100; 500 nmi (930 km); 2.66 kg/km (9.4 lb/mi); 3.33 L/100 km (71 mpg‑US)[77]
Bombardier Dash 8 Q400; 1998; 74; 500 nmi (930 km); 2.31 kg/km (8.2 lb/mi); 3.9 L/100 km (60 mpg‑US)[78]
Bombardier Dash 8 Q400; 1998; 74; 600 nmi (1100 km); 1.83 kg/km (6.5 lb/mi); 3.09 L/100 km (76 mpg‑US)[79]
Dornier 328; 1991; 31; 600 nmi (1100 km); 1.08 kg/km (3.8 lb/mi); 4.35 L/100 km (54.1 mpg‑US)[80]
Embraer E-Jet E2-175; 2020; 88; 600 nmi (1100 km); 2.44 kg/km (8.64 lb/mi); 3.44 L/100 km (68.3 mpg‑US)[68]
Embraer E-Jet E2-190; 2018; 106; 500 nmi (930 km); 2.48 kg/km (8.8 lb/mi); 2.93 L/100 km (80 mpg‑US)[81]
Embraer E-Jet E2-190; 2018; 106; 600 nmi (1100 km); 2.83 kg/km (10.04 lb/mi); 3.32 L/100 km (70.8 mpg‑US)[68]
Embraer E-Jet E2-195; 2019; 132; 500 nmi (930 km); 2.62 kg/km (9.3 lb/mi); 2.5 L/100 km (94 mpg‑US)[82]
Embraer E-Jet E2-195; 2019; 132; 600 nmi (1100 km); 3.07 kg/km (10.91 lb/mi); 2.90 L/100 km (81 mpg‑US)[68]
Embraer E-Jet-170; 2002; 80; 606 nmi (1122 km); 2.6 kg/km (9.3 lb/mi); 4.08 L/100 km (57.7 mpg‑US)[83]
Embraer E-Jet-175; 2005; 88; 605 nmi (1120 km); 2.80 kg/km (9.95 lb/mi); 3.97 L/100 km (59.3 mpg‑US)[83]
Embraer E-Jet-190; 2004; 114; 607 nmi (1124 km); 3.24 kg/km (11.48 lb/mi); 3.54 L/100 km (66.5 mpg‑US)[83]
Embraer E-Jet-195; 2004; 122; 607 nmi (1124 km); 3.21 kg/km (11.38 lb/mi); 3.28 L/100 km (71.8 mpg‑US)[83]
Embraer ERJ-135ER; 1998; 37; 596 nmi (1104 km); 1.44 kg/km (5.12 lb/mi); 4.86 L/100 km (48.4 mpg‑US)[65]
Embraer ERJ-145ER; 1996; 50; 598 nmi (1107 km); 1.55 kg/km (5.49 lb/mi); 3.86 L/100 km (61 mpg‑US)[65]
Pilatus PC-12; 1991; 9; 500 nmi (930 km); 0.41 kg/km (1.5 lb/mi); 5.66 L/100 km (41.6 mpg‑US)[84]
Saab 340; 1983; 31; 500 nmi (930 km); 0.95 kg/km (3.4 lb/mi); 3.83 L/100 km (61.4 mpg‑US)[66]
Saab 2000; 1992; 50; 500 nmi (930 km); 1.54 kg/km (5.5 lb/mi); 3.85 L/100 km (61.1 mpg‑US)[67]
Sukhoi SSJ100; 2008; 98; 500 nmi (930 km); 2.81 kg/km (10.0 lb/mi); 3.59 L/100 km (65.5 mpg‑US)[85]